Chromosome,ChromStart,ChromEnd,Band,Stain
chr1,134731659,134731659,p36.33,acen
chr1,134731659,134731815,q11,gneg
chr1,134731815,134731815,p36.33,acen
chr1,134731815,134731970,q11,gneg
chr1,134731970,134731970,p36.33,acen
chr1,134731970,134732124,q11,gneg
chr1,134732124,134732124,p36.33,acen
chr1,134732124,134732283,q11,gneg
chr1,134732283,134732283,p36.33,acen
chr1,134732283,134732442,q11,gneg
chr1,134732442,134732442,p36.33,acen
chr1,134732442,134732590,q11,gneg
chr1,134732590,134732590,p36.33,acen
chr1,134732590,134732744,q11,gneg
chr1,134732744,134732744,p36.33,acen
chr1,134732744,134732901,q11,gneg
chr1,134732901,134732901,p36.33,acen
chr1,134732901,134733060,q11,gneg
chr1,134733060,134733060,p36.33,acen
chr1,134733060,134733223,q11,gneg
chr1,134733223,134733223,p36.33,acen
chr1,134733223,134733371,q11,gneg
chr1,134733371,134733371,p36.33,acen
chr1,134733371,134733526,q11,gneg
chr1,134733526,134733526,p36.33,acen
chr1,134733526,134733682,q11,gneg
chr1,134733682,134733682,p36.33,acen
chr1,134733682,134733842,q11,gneg
chr1,134733842,134733842,p36.33,acen
chr1,134733842,134733991,q11,gneg
chr1,134733991,134733991,p36.33,acen
chr1,134733991,134734147,q11,gneg
chr1,134734147,134734147,p36.33,acen
chr1,134734147,134734301,q11,gneg
chr1,134734301,134734301,p36.33,acen
chr1,134734301,134734457,q11,gneg
chr1,134734457,134734457,p36.33,acen
chr1,134734457,134734618,q11,gneg
chr1,134734618,134734618,p36.33,acen
chr1,134734618,134734766,q11,gneg
chr1,134734766,134734766,p36.33,acen
chr1,134734766,134734921,q11,gneg
chr1,134734921,134734921,p36.33,acen
chr1,134734921,134735086,q11,gneg
chr1,134735086,134735086,p36.33,acen
chr1,134735086,134735232,q11,gneg
chr1,134735232,134735232,p36.33,acen
chr1,134735232,134735390,q11,gneg
chr1,134735390,134735390,p36.33,acen
chr1,134735390,134735550,q11,gneg
chr1,134735550,134735550,p36.33,acen
chr1,134735550,134735708,q11,gneg
chr1,134735708,134735708,p36.33,acen
chr1,134735708,134735855,q11,gneg
chr1,134735855,134735855,p36.33,acen
chr1,134735855,134736004,q11,gneg
chr1,134736004,134736004,p36.33,acen
chr1,134736004,134736160,q11,gneg
chr1,134736160,134736160,p36.33,acen
chr1,134736160,134736318,q11,gneg
chr1,134736318,134736318,p36.33,acen
chr1,134736318,134736476,q11,gneg
chr1,134736476,134736476,p36.33,acen
chr1,134736476,134736629,q11,gneg
chr1,134736629,134736629,p36.33,acen
chr1,134736629,134736791,q11,gneg
chr1,134736791,134736791,p36.33,acen
chr1,134736791,134736945,q11,gneg
chr1,134736945,134736945,p36.33,acen
chr1,134736945,134737094,q11,gneg
chr1,134737094,134737094,p36.33,acen
chr1,134737094,134737250,q11,gneg
chr1,134737250,134737250,p36.33,acen
chr1,134737250,134737410,q11,gneg
chr1,134737410,134737410,p36.33,acen
chr1,134737410,134737559,q11,gneg
chr1,134737559,134737559,p36.33,acen
chr1,134737559,134737717,q11,gneg
chr1,134737717,134737717,p36.33,acen
chr1,134737717,134737871,q11,gneg
chr1,134737871,134737871,p36.33,acen
chr1,134737871,134738025,q11,gneg
chr1,134738025,134738025,p36.33,acen
chr1,134738025,134738180,q11,gneg
chr1,134738180,134738180,p36.33,acen
chr1,134738180,134738345,q11,gneg
chr1,134738345,134738345,p36.33,acen
chr1,134738345,134738491,q11,gneg
chr1,134738491,134738491,p36.33,acen
chr1,134738491,134738648,q11,gneg
chr1,134738648,134738648,p36.33,acen
chr1,134738648,134738802,q11,gneg
chr1,134738802,134738802,p36.33,acen
chr1,134738802,134738956,q11,gneg
chr1,134738956,134738956,p36.33,acen
chr1,134738956,134739121,q11,gneg
chr1,134739121,134739121,p36.33,acen
chr1,134739121,134739279,q11,gneg
chr1,134739279,134739279,p36.33,acen
chr1,134739279,134739433,q11,gneg
chr1,134739433,134739433,p36.33,acen
chr1,134739433,134739580,q11,gneg
chr1,134739580,134739580,p36.33,acen
chr1,134739580,134739735,q11,gneg
chr1,134739735,134739735,p36.33,acen
chr1,134739735,134739890,q11,gneg
chr1,134739890,134739890,p36.33,acen
chr1,134739890,134740046,q11,gneg
chr1,134740046,134740046,p36.33,acen
chr1,134740046,134740200,q11,gneg
chr1,134740200,134740200,p36.33,acen
chr1,134740200,134740672,q11,gneg
chr1,134740672,134740672,p36.33,acen
chr1,134740672,134740826,q11,gneg
chr1,134740826,134740826,p36.33,acen
chr1,134740826,134740990,q11,gneg
chr1,134740990,134740990,p36.33,acen
chr1,134740990,134741136,q11,gneg
chr1,134741136,134741136,p36.33,acen
chr1,134741136,134741294,q11,gneg
chr1,134741294,134741294,p36.33,acen
chr1,134741294,134741448,q11,gneg
chr1,134741448,134741448,p36.33,acen
chr1,134741448,134741611,q11,gneg
chr1,134741611,134741611,p36.33,acen
chr1,134741611,134741757,q11,gneg
chr1,134741757,134741757,p36.33,acen
chr1,134741757,134741913,q11,gneg
chr1,134741913,134741913,p36.33,acen
chr1,134741913,134742078,q11,gneg
chr1,134742078,134742078,p36.33,acen
chr1,134742078,134742228,q11,gneg
chr1,134742228,134742228,p36.33,acen
chr1,134742228,134742386,q11,gneg
chr1,134742386,134742386,p36.33,acen
chr1,134742386,134742540,q11,gneg
chr1,134742540,134742540,p36.33,acen
chr1,134742540,134742694,q11,gneg
chr1,134742694,134742694,p36.33,acen
chr1,134742694,134742850,q11,gneg
chr1,134742850,134742850,p36.33,acen
chr1,134742850,134743010,q11,gneg
chr1,134743010,134743010,p36.33,acen
chr1,134743010,134743159,q11,gneg
chr1,134743159,134743159,p36.33,acen
chr1,134743159,134743312,q11,gneg
chr1,134743312,134743312,p36.33,acen
chr1,134743312,134743474,q11,gneg
chr1,134743474,134743474,p36.33,acen
chr1,134743474,134743635,q11,gneg
chr1,134743635,134743635,p36.33,acen
chr1,134743635,134743791,q11,gneg
chr1,134743791,134743791,p36.33,acen
chr1,134743791,134743946,q11,gneg
chr1,134743946,134743946,p36.33,acen
chr1,134743946,134744101,q11,gneg
chr1,134744101,134744101,p36.33,acen
chr1,134744101,134744259,q11,gneg
chr1,134744259,134744259,p36.33,acen
chr1,134744259,134744413,q11,gneg
chr1,134744413,134744413,p36.33,acen
chr1,134744413,134744568,q11,gneg
chr1,134744568,134744568,p36.33,acen
chr1,134744568,134744721,q11,gneg
chr1,134744721,134744721,p36.33,acen
chr1,134744721,134744876,q11,gneg
chr1,134744876,134744876,p36.33,acen
chr1,134744876,134745032,q11,gneg
chr1,134745032,134745032,p36.33,acen
chr1,134745032,134750774,q11,gneg
chr1,134750774,134750774,p36.33,acen
chr1,134750774,134750928,q11,gneg
chr1,134750928,134750928,p36.33,acen
chr1,134750928,134751083,q11,gneg
chr1,134751083,134751083,p36.33,acen
chr1,134751083,134751239,q11,gneg
chr1,134751239,134751239,p36.33,acen
chr1,134751239,134751396,q11,gneg
chr1,134751396,134751396,p36.33,acen
chr1,134751396,134751554,q11,gneg
chr1,134751554,134751554,p36.33,acen
chr1,134751554,134751709,q11,gneg
chr1,134751709,134751709,p36.33,acen
chr1,134751709,134751867,q11,gneg
chr1,134751867,134751867,p36.33,acen
chr1,134751867,134752021,q11,gneg
chr1,134752021,134752021,p36.33,acen
chr1,134752021,134752176,q11,gneg
chr1,134752176,134752176,p36.33,acen
chr1,134752176,134752331,q11,gneg
chr1,134752331,134752331,p36.33,acen
chr1,134752331,134752484,q11,gneg
chr1,134752484,134752484,p36.33,acen
chr1,134752484,134752642,q11,gneg
chr1,134752642,134752642,p36.33,acen
chr1,134752642,134752796,q11,gneg
chr1,134752796,134752796,p36.33,acen
chr1,134752796,134752951,q11,gneg
chr1,134752951,134752951,p36.33,acen
chr1,134752951,134753106,q11,gneg
chr1,134753106,134753106,p36.33,acen
chr1,134753106,134753262,q11,gneg
chr1,134753262,134753262,p36.33,acen
chr1,134753262,134753417,q11,gneg
chr1,134753417,134753417,p36.33,acen
chr1,134753417,134753580,q11,gneg
chr1,134753580,134753580,p36.33,acen
chr1,134753580,134753737,q11,gneg
chr1,134753737,134753737,p36.33,acen
chr1,134753737,134753891,q11,gneg
chr1,134753891,134753891,p36.33,acen
chr1,134753891,134754047,q11,gneg
chr1,134754047,134754047,p36.33,acen
chr1,134754047,134754202,q11,gneg
chr1,134754202,134754202,p36.33,acen
chr1,134754202,134754360,q11,gneg
chr1,134754360,134754360,p36.33,acen
chr1,134754360,134754514,q11,gneg
chr1,134754514,134754514,p36.33,acen
chr1,134754514,134754668,q11,gneg
chr1,134754668,134754668,p36.33,acen
chr1,134754668,134754824,q11,gneg
chr1,134754824,134754824,p36.33,acen
chr1,134754824,134754984,q11,gneg
chr1,134754984,134754984,p36.33,acen
chr1,134754984,134755133,q11,gneg
chr1,134755133,134755133,p36.33,acen
chr1,134755133,134755290,q11,gneg
chr1,134755290,134755290,p36.33,acen
chr1,134755290,134755444,q11,gneg
chr1,134755444,134755444,p36.33,acen
chr1,134755444,134755603,q11,gneg
chr1,134755603,134755603,p36.33,acen
chr1,134755603,134755752,q11,gneg
chr1,134755752,134755752,p36.33,acen
chr1,134755752,134756240,q11,gneg
chr1,134756240,134756240,p36.33,acen
chr1,134756240,134756399,q11,gneg
chr1,134756399,134756399,p36.33,acen
chr1,134756399,134756555,q11,gneg
chr1,134756555,134756555,p36.33,acen
chr1,134756555,134756720,q11,gneg
chr1,134756720,134756720,p36.33,acen
chr1,134756720,134756866,q11,gneg
chr1,134756866,134756866,p36.33,acen
chr1,134756866,134757023,q11,gneg
chr1,134757023,134757023,p36.33,acen
chr1,134757023,134757177,q11,gneg
chr1,134757177,134757177,p36.33,acen
chr1,134757177,134757331,q11,gneg
chr1,134757331,134757331,p36.33,acen
chr1,134757331,134760919,q11,gneg
chr1,134760919,134760919,p36.33,acen
chr1,134760919,134761074,q11,gneg
chr1,134761074,134761074,p36.33,acen
chr1,134761074,134761229,q11,gneg
chr1,134761229,134761229,p36.33,acen
chr1,134761229,134761395,q11,gneg
chr1,134761395,134761395,p36.33,acen
chr1,134761395,134761541,q11,gneg
chr1,134761541,134761541,p36.33,acen
chr1,134761541,134761698,q11,gneg
chr1,134761698,134761698,p36.33,acen
chr1,134761698,134761852,q11,gneg
chr1,134761852,134761852,p36.33,acen
chr1,134761852,134762006,q11,gneg
chr1,134762006,134762006,p36.33,acen
chr1,134762006,134762163,q11,gneg
chr1,134762163,134762163,p36.33,acen
chr1,134762163,134762333,q11,gneg
chr1,134762333,134762333,p36.33,acen
chr1,134762333,134762481,q11,gneg
chr1,134762481,134762481,p36.33,acen
chr1,134762481,134762639,q11,gneg
chr1,134762639,134762639,p36.33,acen
chr1,134762639,134762792,q11,gneg
chr1,134762792,134762792,p36.33,acen
chr1,134762792,134762951,q11,gneg
chr1,134762951,134762951,p36.33,acen
chr1,134762951,134763100,q11,gneg
chr1,134763100,134763100,p36.33,acen
chr1,134763100,134763256,q11,gneg
chr1,134763256,134763256,p36.33,acen
chr1,134763256,134763410,q11,gneg
chr1,134763410,134763410,p36.33,acen
chr1,134763410,134763565,q11,gneg
chr1,134763565,134763565,p36.33,acen
chr1,134763565,134763730,q11,gneg
chr1,134763730,134763730,p36.33,acen
chr1,134763730,134763876,q11,gneg
chr1,134763876,134763876,p36.33,acen
chr1,134763876,134764034,q11,gneg
chr1,134764034,134764034,p36.33,acen
chr1,134764034,134764187,q11,gneg
chr1,134764187,134764187,p36.33,acen
chr1,134764187,134764343,q11,gneg
chr1,134764343,134764343,p36.33,acen
chr1,134764343,134764503,q11,gneg
chr1,134764503,134764503,p36.33,acen
chr1,134764503,134764652,q11,gneg
chr1,134764652,134764652,p36.33,acen
chr1,134764652,134764810,q11,gneg
chr1,134764810,134764810,p36.33,acen
chr1,134764810,134764964,q11,gneg
chr1,134764964,134764964,p36.33,acen
chr1,134764964,134765129,q11,gneg
chr1,134765129,134765129,p36.33,acen
chr1,134765129,134765275,q11,gneg
chr1,134765275,134765275,p36.33,acen
chr1,134765275,134766018,q11,gneg
chr1,134766018,134766018,p36.33,acen
chr1,134766018,134766176,q11,gneg
chr1,134766176,134766176,p36.33,acen
chr1,134766176,134766332,q11,gneg
chr1,134766332,134766332,p36.33,acen
chr1,134766332,134766492,q11,gneg
chr1,134766492,134766492,p36.33,acen
chr1,134766492,134766968,q11,gneg
chr1,134766968,134766968,p36.33,acen
chr1,134766968,134767126,q11,gneg
chr1,134767126,134767126,p36.33,acen
chr1,134767126,134767281,q11,gneg
chr1,134767281,134767281,p36.33,acen
chr1,134767281,134767435,q11,gneg
chr1,134767435,134767435,p36.33,acen
chr1,134767435,134767591,q11,gneg
chr1,134767591,134767591,p36.33,acen
chr1,134767591,134767748,q11,gneg
chr1,134767748,134767748,p36.33,acen
chr1,134767748,134767902,q11,gneg
chr1,134767902,134767902,p36.33,acen
chr1,134767902,134768058,q11,gneg
chr1,134768058,134768058,p36.33,acen
chr1,134768058,134768215,q11,gneg
chr1,134768215,134768215,p36.33,acen
chr1,134768215,134768370,q11,gneg
chr1,134768370,134768370,p36.33,acen
chr1,134768370,134768526,q11,gneg
chr1,134768526,134768526,p36.33,acen
chr1,134768526,134768683,q11,gneg
chr1,134768683,134768683,p36.33,acen
chr1,134768683,134768835,q11,gneg
chr1,134768835,134768835,p36.33,acen
chr1,134768835,134768991,q11,gneg
chr1,134768991,134768991,p36.33,acen
chr1,134768991,134769146,q11,gneg
chr1,134769146,134769146,p36.33,acen
chr1,134769146,134769302,q11,gneg
chr1,134769302,134769302,p36.33,acen
chr1,134769302,134769457,q11,gneg
chr1,134769457,134769457,p36.33,acen
chr1,134769457,134769613,q11,gneg
chr1,134769613,134769613,p36.33,acen
chr1,134769613,134769769,q11,gneg
chr1,134769769,134769769,p36.33,acen
chr1,134769769,134769924,q11,gneg
chr1,134769924,134769924,p36.33,acen
chr1,134769924,134770080,q11,gneg
chr1,134770080,134770080,p36.33,acen
chr1,134770080,134770236,q11,gneg
chr1,134770236,134770236,p36.33,acen
chr1,134770236,134770391,q11,gneg
chr1,134770391,134770391,p36.33,acen
chr1,134770391,134770546,q11,gneg
chr1,134770546,134770546,p36.33,acen
chr1,134770546,134770710,q11,gneg
chr1,134770710,134770710,p36.33,acen
chr1,134770710,134771459,q11,gneg
chr1,134771459,134771459,p36.33,acen
chr1,134771459,134771619,q11,gneg
chr1,134771619,134771619,p36.33,acen
chr1,134771619,134771764,q11,gneg
chr1,134771764,134771764,p36.33,acen
chr1,134771764,134771922,q11,gneg
chr1,134771922,134771922,p36.33,acen
chr1,134771922,134772075,q11,gneg
chr1,134772075,134772075,p36.33,acen
chr1,134772075,134772235,q11,gneg
chr1,134772235,134772235,p36.33,acen
chr1,134772235,134772388,q11,gneg
chr1,134772388,134772388,p36.33,acen
chr1,134772388,134772543,q11,gneg
chr1,134772543,134772543,p36.33,acen
chr1,134772543,134772689,q11,gneg
chr1,134772689,134772689,p36.33,acen
chr1,134772689,134772854,q11,gneg
chr1,134772854,134772854,p36.33,acen
chr1,134772854,134773000,q11,gneg
chr1,134773000,134773000,p36.33,acen
chr1,134773000,134773155,q11,gneg
chr1,134773155,134773155,p36.33,acen
chr1,134773155,134773315,q11,gneg
chr1,134773315,134773315,p36.33,acen
chr1,134773315,134773630,q11,gneg
chr1,134773630,134773630,p36.33,acen
chr1,134773630,134773785,q11,gneg
chr1,134773785,134773785,p36.33,acen
chr1,134773785,134773950,q11,gneg
chr1,134773950,134773950,p36.33,acen
chr1,134773950,134774096,q11,gneg
chr1,134774096,134774096,p36.33,acen
chr1,134774096,134774253,q11,gneg
chr1,134774253,134774253,p36.33,acen
chr1,134774253,134774405,q11,gneg
chr1,134774405,134774405,p36.33,acen
chr1,134774405,134774567,q11,gneg
chr1,134774567,134774567,p36.33,acen
chr1,134774567,134774718,q11,gneg
chr1,134774718,134774718,p36.33,acen
chr1,134774718,134774871,q11,gneg
chr1,134774871,134774871,p36.33,acen
chr1,134774871,134775027,q11,gneg
chr1,134775027,134775027,p36.33,acen
chr1,134775027,134775182,q11,gneg
chr1,134775182,134775182,p36.33,acen
chr1,134775182,134775338,q11,gneg
chr1,134775338,134775338,p36.33,acen
chr1,134775338,134775493,q11,gneg
chr1,134775493,134775493,p36.33,acen
chr1,134775493,134775648,q11,gneg
chr1,134775648,134775648,p36.33,acen
chr1,134775648,134775804,q11,gneg
chr1,134775804,134775804,p36.33,acen
chr1,134775804,134775957,q11,gneg
chr1,134775957,134775957,p36.33,acen
chr1,134775957,134776113,q11,gneg
chr1,134776113,134776113,p36.33,acen
chr1,134776113,134776266,q11,gneg
chr1,134776266,134776266,p36.33,acen
chr1,134776266,134776418,q11,gneg
chr1,134776418,134776418,p36.33,acen
chr1,134776418,134776572,q11,gneg
chr1,134776572,134776572,p36.33,acen
chr1,134776572,134791374,q11,gneg
chr1,134791374,134791374,p36.33,acen
chr1,134791374,134791530,q11,gneg
chr1,134791530,134791530,p36.33,acen
chr1,134791530,134791685,q11,gneg
chr1,134791685,134791685,p36.33,acen
chr1,134791685,134791856,q11,gneg
chr1,134791856,134791856,p36.33,acen
chr1,134791856,134792006,q11,gneg
chr1,134792006,134792006,p36.33,acen
chr1,134792006,134792166,q11,gneg
chr1,134792166,134792166,p36.33,acen
chr1,134792166,134792315,q11,gneg
chr1,134792315,134792315,p36.33,acen
chr1,134792315,134792472,q11,gneg
chr1,134792472,134792472,p36.33,acen
chr1,134792472,134792631,q11,gneg
chr1,134792631,134792631,p36.33,acen
chr1,134792631,134792780,q11,gneg
chr1,134792780,134792780,p36.33,acen
chr1,134792780,134792936,q11,gneg
chr1,134792936,134792936,p36.33,acen
chr1,134792936,134793248,q11,gneg
chr1,134793248,134793248,p36.33,acen
chr1,134793248,134793403,q11,gneg
chr1,134793403,134793403,p36.33,acen
chr1,134793403,134793560,q11,gneg
chr1,134793560,134793560,p36.33,acen
chr1,134793560,134793712,q11,gneg
chr1,134793712,134793712,p36.33,acen
chr1,134793712,134798704,q11,gneg
chr1,134798704,134798704,p36.33,acen
chr1,134798704,134798842,q11,gneg
chr1,134798842,134798842,p36.33,acen
chr1,134798842,134798997,q11,gneg
chr1,134798997,134798997,p36.33,acen
chr1,134798997,134799153,q11,gneg
chr1,134799153,134799153,p36.33,acen
chr1,134799153,134799307,q11,gneg
chr1,134799307,134799307,p36.33,acen
chr1,134799307,134799462,q11,gneg
chr1,134799462,134799462,p36.33,acen
chr1,134799462,134799619,q11,gneg
chr1,134799619,134799619,p36.33,acen
chr1,134799619,134799775,q11,gneg
chr1,134799775,134799775,p36.33,acen
chr1,134799775,134799931,q11,gneg
chr1,134799931,134799931,p36.33,acen
chr1,134799931,134800087,q11,gneg
chr1,134800087,134800087,p36.33,acen
chr1,134800087,134800242,q11,gneg
chr1,134800242,134800242,p36.33,acen
chr1,134800242,134800398,q11,gneg
chr1,134800398,134800398,p36.33,acen
chr1,134800398,134800558,q11,gneg
chr1,134800558,134800558,p36.33,acen
chr1,134800558,134800708,q11,gneg
chr1,134800708,134800708,p36.33,acen
chr1,134800708,134800862,q11,gneg
chr1,134800862,134800862,p36.33,acen
chr1,134800862,134801018,q11,gneg
chr1,134801018,134801018,p36.33,acen
chr1,134801018,134801174,q11,gneg
chr1,134801174,134801174,p36.33,acen
chr1,134801174,134801329,q11,gneg
chr1,134801329,134801329,p36.33,acen
chr1,134801329,134801485,q11,gneg
chr1,134801485,134801485,p36.33,acen
chr1,134801485,134801641,q11,gneg
chr1,134801641,134801641,p36.33,acen
chr1,134801641,134801797,q11,gneg
chr1,134801797,134801797,p36.33,acen
chr1,134801797,134826878,q11,gneg
chr1,134826878,134826878,p36.33,acen
chr1,134826878,134827026,q11,gneg
chr1,134827026,134827026,p36.33,acen
chr1,134827026,134827181,q11,gneg
chr1,134827181,134827181,p36.33,acen
chr1,134827181,134827336,q11,gneg
chr1,134827336,134827336,p36.33,acen
chr1,134827336,134827502,q11,gneg
chr1,134827502,134827502,p36.33,acen
chr1,134827502,134827648,q11,gneg
chr1,134827648,134827648,p36.33,acen
chr1,134827648,134827806,q11,gneg
chr1,134827806,134827806,p36.33,acen
chr1,134827806,134827960,q11,gneg
chr1,134827960,134827960,p36.33,acen
chr1,134827960,134828115,q11,gneg
chr1,134828115,134828115,p36.33,acen
chr1,134828115,134828270,q11,gneg
chr1,134828270,134828270,p36.33,acen
chr1,134828270,134828423,q11,gneg
chr1,134828423,134828423,p36.33,acen
chr1,134828423,134828586,q11,gneg
chr1,134828586,134828586,p36.33,acen
chr1,134828586,134828734,q11,gneg
chr1,134828734,134828734,p36.33,acen
chr1,134828734,134828889,q11,gneg
chr1,134828889,134828889,p36.33,acen
chr1,134828889,134829047,q11,gneg
chr1,134829047,134829047,p36.33,acen
chr1,134829047,134829206,q11,gneg
chr1,134829206,134829206,p36.33,acen
chr1,134829206,134829355,q11,gneg
chr1,134829355,134829355,p36.33,acen
chr1,134829355,134829511,q11,gneg
chr1,134829511,134829511,p36.33,acen
chr1,134829511,134851654,q11,gneg
chr1,134851654,134851654,p36.33,acen
chr1,134851654,134851800,q11,gneg
chr1,134851800,134851800,p36.33,acen
chr1,134851800,134851958,q11,gneg
chr1,134851958,134851958,p36.33,acen
chr1,134851958,134852112,q11,gneg
chr1,134852112,134852112,p36.33,acen
chr1,134852112,134852268,q11,gneg
chr1,134852268,134852268,p36.33,acen
chr1,134852268,134852423,q11,gneg
chr1,134852423,134852423,p36.33,acen
chr1,134852423,134852577,q11,gneg
chr1,134852577,134852577,p36.33,acen
chr1,134852577,134852736,q11,gneg
chr1,134852736,134852736,p36.33,acen
chr1,134852736,134852896,q11,gneg
chr1,134852896,134852896,p36.33,acen
chr1,134852896,134858461,q11,gneg
chr1,134858461,134858461,p36.33,acen
chr1,134858461,134858626,q11,gneg
chr1,134858626,134858626,p36.33,acen
chr1,134858626,134858772,q11,gneg
chr1,134858772,134858772,p36.33,acen
chr1,134858772,134858930,q11,gneg
chr1,134858930,134858930,p36.33,acen
chr1,134858930,134859084,q11,gneg
chr1,134859084,134859084,p36.33,acen
chr1,134859084,134859240,q11,gneg
chr1,134859240,134859240,p36.33,acen
chr1,134859240,134859400,q11,gneg
chr1,134859400,134859400,p36.33,acen
chr1,134859400,134859555,q11,gneg
chr1,134859555,134859555,p36.33,acen
chr1,134859555,134859713,q11,gneg
chr1,134859713,134859713,p36.33,acen
chr1,134859713,134859862,q11,gneg
chr1,134859862,134859862,p36.33,acen
chr1,134859862,134860021,q11,gneg
chr1,134860021,134860021,p36.33,acen
chr1,134860021,134860361,q11,gneg
chr1,134860361,134860361,p36.33,acen
chr1,134860361,134860506,q11,gneg
chr1,134860506,134860506,p36.33,acen
chr1,134860506,134860662,q11,gneg
chr1,134860662,134860662,p36.33,acen
chr1,134860662,134860822,q11,gneg
chr1,134860822,134860822,p36.33,acen
chr1,134860822,134860971,q11,gneg
chr1,134860971,134860971,p36.33,acen
chr1,134860971,134861127,q11,gneg
chr1,134861127,134861127,p36.33,acen
chr1,134861127,134861282,q11,gneg
chr1,134861282,134861282,p36.33,acen
chr1,134861282,134861438,q11,gneg
chr1,134861438,134861438,p36.33,acen
chr1,134861438,134861599,q11,gneg
chr1,134861599,134861599,p36.33,acen
chr1,134861599,134861747,q11,gneg
chr1,134861747,134861747,p36.33,acen
chr1,134861747,134861902,q11,gneg
chr1,134861902,134861902,p36.33,acen
chr1,134861902,134862058,q11,gneg
chr1,134862058,134862058,p36.33,acen
chr1,134862058,134862218,q11,gneg
chr1,134862218,134862218,p36.33,acen
chr1,134862218,134862370,q11,gneg
chr1,134862370,134862370,p36.33,acen
chr1,134862370,134862529,q11,gneg
chr1,134862529,134862529,p36.33,acen
chr1,134862529,134862678,q11,gneg
chr1,134862678,134862678,p36.33,acen
chr1,134862678,134862836,q11,gneg
chr1,134862836,134862836,p36.33,acen
chr1,134862836,134862995,q11,gneg
chr1,134862995,134862995,p36.33,acen
chr1,134862995,134863152,q11,gneg
chr1,134863152,134863152,p36.33,acen
chr1,134863152,134863636,q11,gneg
chr1,134863636,134863636,p36.33,acen
chr1,134863636,134863784,q11,gneg
chr1,134863784,134863784,p36.33,acen
chr1,134863784,134863939,q11,gneg
chr1,134863939,134863939,p36.33,acen
chr1,134863939,134864094,q11,gneg
chr1,134864094,134864094,p36.33,acen
chr1,134864094,134864252,q11,gneg
chr1,134864252,134864252,p36.33,acen
chr1,134864252,134864413,q11,gneg
chr1,134864413,134864413,p36.33,acen
chr1,134864413,134864559,q11,gneg
chr1,134864559,134864559,p36.33,acen
chr1,134864559,134864714,q11,gneg
chr1,134864714,134864714,p36.33,acen
chr1,134864714,134864871,q11,gneg
chr1,134864871,134864871,p36.33,acen
chr1,134864871,134865032,q11,gneg
chr1,134865032,134865032,p36.33,acen
chr1,134865032,134865181,q11,gneg
chr1,134865181,134865181,p36.33,acen
chr1,134865181,134865338,q11,gneg
chr1,134865338,134865338,p36.33,acen
chr1,134865338,134865492,q11,gneg
chr1,134865492,134865492,p36.33,acen
chr1,134865492,134865814,q11,gneg
chr1,134865814,134865814,p36.33,acen
chr1,134865814,134865985,q11,gneg
chr1,134865985,134865985,p36.33,acen
chr1,134865985,134866131,q11,gneg
chr1,134866131,134866131,p36.33,acen
chr1,134866131,134866289,q11,gneg
chr1,134866289,134866289,p36.33,acen
chr1,134866289,134866449,q11,gneg
chr1,134866449,134866449,p36.33,acen
chr1,134866449,134866607,q11,gneg
chr1,134866607,134866607,p36.33,acen
chr1,134866607,134866754,q11,gneg
chr1,134866754,134866754,p36.33,acen
chr1,134866754,134866903,q11,gneg
chr1,134866903,134866903,p36.33,acen
chr1,134866903,134867200,q11,gneg
chr1,134867200,134867200,p36.33,acen
chr1,134867200,134867349,q11,gneg
chr1,134867349,134867349,p36.33,acen
chr1,134867349,134867504,q11,gneg
chr1,134867504,134867504,p36.33,acen
chr1,134867504,134867669,q11,gneg
chr1,134867669,134867669,p36.33,acen
chr1,134867669,134867815,q11,gneg
chr1,134867815,134867815,p36.33,acen
chr1,134867815,134867971,q11,gneg
chr1,134867971,134867971,p36.33,acen
chr1,134867971,134868125,q11,gneg
chr1,134868125,134868125,p36.33,acen
chr1,134868125,134868286,q11,gneg
chr1,134868286,134868286,p36.33,acen
chr1,134868286,134897972,q11,gneg
chr1,134897972,134897972,p36.33,acen
chr1,134897972,134898126,q11,gneg
chr1,134898126,134898126,p36.33,acen
chr1,134898126,134898282,q11,gneg
chr1,134898282,134898282,p36.33,acen
chr1,134898282,134898439,q11,gneg
chr1,134898439,134898439,p36.33,acen
chr1,134898439,134898593,q11,gneg
chr1,134898593,134898593,p36.33,acen
chr1,134898593,134898748,q11,gneg
chr1,134898748,134898748,p36.33,acen
chr1,134898748,134898904,q11,gneg
chr1,134898904,134898904,p36.33,acen
chr1,134898904,134899058,q11,gneg
chr1,134899058,134899058,p36.33,acen
chr1,134899058,134899214,q11,gneg
chr1,134899214,134899214,p36.33,acen
chr1,134899214,134899370,q11,gneg
chr1,134899370,134899370,p36.33,acen
chr1,134899370,134899525,q11,gneg
chr1,134899525,134899525,p36.33,acen
chr1,134899525,134899681,q11,gneg
chr1,134899681,134899681,p36.33,acen
chr1,134899681,134899837,q11,gneg
chr1,134899837,134899837,p36.33,acen
chr1,134899837,134899991,q11,gneg
chr1,134899991,134899991,p36.33,acen
chr1,134899991,134900146,q11,gneg
chr1,134900146,134900146,p36.33,acen
chr1,134900146,134900304,q11,gneg
chr1,134900304,134900304,p36.33,acen
chr1,134900304,134900457,q11,gneg
chr1,134900457,134900457,p36.33,acen
chr1,134900457,134900815,q11,gneg
chr1,134900815,134900815,p36.33,acen
chr1,134900815,134900968,q11,gneg
chr1,134900968,134900968,p36.33,acen
chr1,134900968,134901123,q11,gneg
